
27149|Wed Jul  2 15:17:47 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27195|Wed Jul  2 15:21:18 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27289|Wed Jul  2 15:51:27 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27297|Wed Jul  2 15:51:50 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27304|Wed Jul  2 15:52:06 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27336|Wed Jul  2 15:54:52 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27570|Wed Jul  2 16:59:51 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27577|Wed Jul  2 17:00:11 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27585|Wed Jul  2 17:00:52 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27620|Wed Jul  2 17:07:19 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27645|Wed Jul  2 17:08:37 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27672|Wed Jul  2 17:09:38 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27674|Wed Jul  2 17:09:47 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27681|Wed Jul  2 17:10:08 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27689|Wed Jul  2 17:10:29 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27716|Wed Jul  2 17:11:25 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
27719|Wed Jul  2 17:11:35 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
